,Train Accuracy ,Test Accuracy ,ROC Area,Optimal Cutoff,Total Cost
XGBClassifier,0.7866142857142857,0.6843666666666667,0.7543538005575495,0.60124,9.154835769850015
RandomForestClassifier,0.9843857142857143,0.6858666666666666,0.7514769679064409,0.5839,9.362166766780614
LGBMClassifier,0.6996571428571429,0.6769333333333334,0.7446953313559711,0.61481,9.442539435432355
CatBoostClassifier,0.7592571428571429,0.6745,0.7393993318633612,0.62808,9.709499688098829
LogisticRegressionCV,0.6318714285714285,0.6318,0.6857798499685731,0.57805,11.312592346479494
