,Train Accuracy ,Test Accuracy ,ROC Area,Optimal Cutoff,Total Cost
LGBMClassifier,0.7073904761904762,0.6770333333333334,0.7416380374929301,0.616,9.445254520461956
XGBClassifier,0.6662857142857143,0.6582666666666667,0.7198422211306856,0.554,9.776196101635694
RandomForestClassifier,0.6665333333333333,0.6578333333333334,0.7186995703213416,0.599,9.805455517929792
CatBoostClassifier,0.703047619047619,0.6562333333333333,0.7207326458736938,0.601,9.915363353345791
LogisticRegressionCV,0.636,0.637,0.6802248126935956,0.5710000000000001,11.407245911425353
