,Train Accuracy ,Test Accuracy ,ROC Area,Optimal Cutoff,Total Cost
LGBMClassifier,0.7027047619047619,0.6723333333333333,0.734899501504648,0.578,9.492447020242611
CatBoostClassifier,0.677752380952381,0.6674,0.7305563674853353,0.578,9.636267938882112
XGBClassifier,0.6684380952380953,0.6589,0.7217099211157155,0.5710000000000001,9.687565269949038
RandomForestClassifier,0.6475047619047619,0.6432,0.697351710498253,0.537,10.081526434550682
LogisticRegressionCV,0.5910285714285715,0.5915333333333334,0.6389452111914335,0.758,11.609654771488906
