,Train Accuracy ,Test Accuracy ,ROC Area,Optimal Cutoff,Total Cost
LGBMClassifier,0.7073904761904762,0.6770333333333334,0.7416380374929301,0.616,9.445254520461956
XGBClassifier,0.6662857142857143,0.6582666666666667,0.7198422211306856,0.554,9.776196101635694
RandomForestClassifier,0.6665333333333333,0.6578333333333334,0.7186995703213416,0.599,9.805455517929792
CatBoostClassifier,0.6755047619047619,0.6522333333333333,0.7139909884087031,0.604,10.036003852846225
LogisticRegressionCV,0.6274857142857143,0.6268,0.679551146965568,0.624,11.40964593951106
